aasta,langev_ilma_randeta,langev_randega,praegune_tase_ilma_randeta,praegune_tase_randega,stat_amet_ilma_randeta,stat_amet_randega
2026,5682.1,5745.77,5682.1,5745.77,5682.1,5745.77
2027,5529.32,5652.04,5529.78,5652.51,5530.29,5653.04
2028,5379.07,5557.36,5380.39,5558.72,5381.89,5560.26
2029,5230.92,5462.11,5233.46,5464.75,5236.36,5467.74
2030,5082.95,5364.77,5087.07,5369.06,5091.75,5373.94
2031,4941.06,5271.42,4947.04,5277.71,4953.85,5284.86
2032,4793.23,5170.26,4801.36,5178.86,4810.6,5188.66
2033,4654.4,5076.32,4664.97,5087.6,4676.99,5100.43
2034,4515.01,4980.16,4528.23,4994.38,4543.26,5010.56
2035,4377.53,4884.33,4393.64,4901.81,4411.97,4921.69
